Chins Situps Jumps
15 219 55
15 151 103
11 58 186
16 62 59
1 152 104
3 214 171
6 80 90
1 134 68
13 172 84
1 60 44
13 92 107
15 129 161
10 105 178
18 116 228
7 127 23
14 101 213
9 128 25
4 66 215
4 157 231
3 135 39
4 72 119
10 55 208
1 100 189
15 112 180
4 229 48
10 83 138
11 156 114
14 218 82
10 226 34
4 106 191
18 110 197
19 232 108
9 80 151
15 241 140
15 77 138
6 97 49
6 125 134
12 118 145
13 176 101
5 166 191
12 223 202
18 147 87
15 158 54
2 104 69
17 103 137
16 204 38
9 66 219
18 244 126
15 192 160
15 134 132
15 173 103
12 144 39
15 53 30
10 159 202
13 95 222
8 203 60
4 55 31
8 208 107
7 247 96
17 73 208
18 189 112
6 166 180
5 95 185
10 213 95
18 146 191
3 61 111
13 170 49
1 214 79
11 155 227
2 61 168
8 118 75
4 140 221
13 175 163
4 110 114
9 91 163
12 184 91
16 70 215
17 84 175
11 178 146
5 248 143
