Weight Waist Pulse
166 36 47
170 31 61
187 38 56
208 34 68
190 31 72
188 33 74
152 39 60
151 39 72
173 35 71
209 38 60
172 37 61
184 30 61
176 33 48
199 30 61
206 32 47
167 39 67
196 37 58
178 35 57
186 39 67
161 32 69
185 33 54
209 34 73
168 33 52
190 34 66
207 34 61
159 33 57
171 32 57
197 38 59
164 31 63
191 35 58
167 39 67
156 30 53
188 39 54
200 34 51
205 34 64
158 33 55
205 37 55
183 36 58
198 34 50
172 33 74
162 33 50
201 31 69
156 37 50
157 32 63
168 38 72
166 30 63
206 32 63
166 31 54
200 30 62
197 33 46
195 36 68
163 36 60
163 39 70
154 34 72
204 31 67
176 33 62
189 30 72
199 33 66
163 31 48
202 36 47
187 33 49
168 30 63
177 34 72
192 39 70
150 38 52
156 33 71
158 33 47
203 36 52
162 34 54
202 32 51
152 33 60
184 34 60
176 34 55
158 32 69
205 31 64
209 30 50
202 32 48
186 30 54
202 35 46
204 38 47
